attacking_type,defending_type,effectiveness
normal,rock,0.5
normal,ghost,0
normal,steel,0.5
fire,fire,0.5
fire,water,0.5
fire,grass,2
fire,ice,2
fire,bug,2
fire,rock,0.5
fire,dragon,0.5
water,fire,2
water,water,0.5
water,grass,0.5
water,ground,2
water,rock,2
water,dragon,0.5
grass,fire,0.5
grass,water,2
grass,electric,0.5
grass,grass,0.5
grass,ground,2
grass,rock,2
grass,bug,0.5
grass,dragon,0.5
grass,steel,0.5
electric,water,2
electric,grass,0.5
electric,electric,0.5
electric,ground,0
electric,flying,2
electric,steel,2
ice,fire,0.5
ice,water,0.5
ice,grass,2
ice,ice,0.5
ice,ground,2
ice,flying,2
ice,dragon,2
ice,steel,0.5
fighting,normal,2
fighting,fighting,1
fighting,flying,0.5
fighting,poison,0.5
fighting,ground,1
fighting,rock,2
fighting,bug,0.5
fighting,ghost,0
fighting,steel,2
fighting,fire,1
fighting,water,1
fighting,grass,1
fighting,electric,1
fighting,psychic,0.5
fighting,ice,2
fighting,dragon,1
fighting,dark,2
fighting,fairy,0.5
poison,grass,2
poison,poison,0.5
poison,ground,0.5
poison,rock,0.5
poison,ghost,0.5
poison,steel,0
poison,fairy,2
ground,fire,2
ground,electric,2
ground,grass,0.5
ground,poison,2
ground,rock,2
ground,bug,0.5
ground,flying,0
ground,steel,2
flying,grass,2
flying,electric,0.5
flying,fighting,2
flying,bug,2
flying,rock,0.5
flying,steel,0.5
psychic,fighting,2
psychic,poison,2
psychic,psychic,0.5
psychic,steel,0.5
psychic,dark,0
bug,fire,0.5
bug,grass,2
bug,fighting,0.5
bug,poison,0.5
bug,flying,0.5
bug,psychic,2
bug,ghost,0.5
bug,steel,0.5
bug,dark,2
bug,fairy,0.5
rock,fire,2
rock,ice,2
rock,fighting,0.5
rock,ground,0.5
rock,flying,2
rock,bug,2
rock,steel,0.5
ghost,normal,0
ghost,fighting,1
ghost,poison,1
ghost,ghost,2
ghost,dark,0.5
ghost,steel,1
dark,fighting,0.5
dark,psychic,2
dark,ghost,2
dark,dark,0.5
dark,steel,1
dark,fairy,0.5
dragon,dragon,2
dragon,steel,0.5
fairy,fire,0.5
fairy,fighting,2
fairy,poison,0.5
fairy,dragon,2
fairy,steel,0.5
steel,fire,0.5
steel,water,0.5
steel,electric,0.5
steel,ice,2
steel,rock,2
steel,steel,0.5
steel,fairy,2
